,_id,dezenas,premiacoes
0,"{'loteria': 'super-sete', 'concurso': 1}","['2', '9', '9', '8', '7', '7', '6']","[{'acertos': '7 Pontos', 'vencedores': 0, 'premio': '-'}, {'acertos': '6 Pontos', 'vencedores': 12, 'premio': '16.916,44'}, {'acertos': '5 Pontos', 'vencedores': 272, 'premio': '1.066,16'}, {'acertos': '4 Pontos', 'vencedores': 4330, 'premio': '66,97'}, {'acertos': '3 Pontos', 'vencedores': 41129, 'premio': '5,00'}]"
1,"{'loteria': 'super-sete', 'concurso': 2}","['8', '8', '1', '5', '6', '7', '7']","[{'acertos': '7 Pontos', 'vencedores': 0, 'premio': '-'}, {'acertos': '6 Pontos', 'vencedores': 4, 'premio': '22.234,57'}, {'acertos': '5 Pontos', 'vencedores': 157, 'premio': '809,26'}, {'acertos': '4 Pontos', 'vencedores': 2308, 'premio': '55,04'}, {'acertos': '3 Pontos', 'vencedores': 21215, 'premio': '5,00'}]"
2,"{'loteria': 'super-sete', 'concurso': 3}","['7', '2', '6', '6', '5', '4', '4']","[{'acertos': '7 Pontos', 'vencedores': 1, 'premio': '1.430.638,83'}, {'acertos': '6 Pontos', 'vencedores': 5, 'premio': '19.645,81'}, {'acertos': '5 Pontos', 'vencedores': 227, 'premio': '618,18'}, {'acertos': '4 Pontos', 'vencedores': 2642, 'premio': '53,11'}, {'acertos': '3 Pontos', 'vencedores': 23324, 'premio': '5,00'}]"
3,"{'loteria': 'super-sete', 'concurso': 4}","['5', '7', '8', '1', '8', '2', '5']","[{'acertos': '7 Pontos', 'vencedores': 0, 'premio': '-'}, {'acertos': '6 Pontos', 'vencedores': 2, 'premio': '45.610,79'}, {'acertos': '5 Pontos', 'vencedores': 139, 'premio': '937,52'}, {'acertos': '4 Pontos', 'vencedores': 2031, 'premio': '64,16'}, {'acertos': '3 Pontos', 'vencedores': 18493, 'premio': '5,00'}]"
4,"{'loteria': 'super-sete', 'concurso': 5}","['6', '4', '0', '1', '0', '6', '9']","[{'acertos': '7 Pontos', 'vencedores': 0, 'premio': '-'}, {'acertos': '6 Pontos', 'vencedores': 7, 'premio': '16.107,14'}, {'acertos': '5 Pontos', 'vencedores': 132, 'premio': '1.220,23'}, {'acertos': '4 Pontos', 'vencedores': 2288, 'premio': '70,39'}, {'acertos': '3 Pontos', 'vencedores': 22005, 'premio': '5,00'}]"
5,"{'loteria': 'super-sete', 'concurso': 6}","['5', '7', '3', '3', '4', '1', '1']","[{'acertos': '7 Pontos', 'vencedores': 0, 'premio': '-'}, {'acertos': '6 Pontos', 'vencedores': 6, 'premio': '15.270,32'}, {'acertos': '5 Pontos', 'vencedores': 181, 'premio': '723,14'}, {'acertos': '4 Pontos', 'vencedores': 2303, 'premio': '56,83'}, {'acertos': '3 Pontos', 'vencedores': 20941, 'premio': '5,00'}]"
6,"{'loteria': 'super-sete', 'concurso': 7}","['0', '7', '7', '6', '4', '4', '9']","[{'acertos': '7 Pontos', 'vencedores': 0, 'premio': '-'}, {'acertos': '6 Pontos', 'vencedores': 10, 'premio': '8.448,44'}, {'acertos': '5 Pontos', 'vencedores': 164, 'premio': '735,92'}, {'acertos': '4 Pontos', 'vencedores': 2254, 'premio': '53,54'}, {'acertos': '3 Pontos', 'vencedores': 21719, 'premio': '5,00'}]"
7,"{'loteria': 'super-sete', 'concurso': 8}","['7', '0', '9', '2', '0', '2', '5']","[{'acertos': '7 Pontos', 'vencedores': 0, 'premio': '-'}, {'acertos': '6 Pontos', 'vencedores': 2, 'premio': '45.499,32'}, {'acertos': '5 Pontos', 'vencedores': 99, 'premio': '1.313,11'}, {'acertos': '4 Pontos', 'vencedores': 1661, 'premio': '78,26'}, {'acertos': '3 Pontos', 'vencedores': 16179, 'premio': '5,00'}]"
8,"{'loteria': 'super-sete', 'concurso': 9}","['8', '6', '2', '0', '2', '6', '7']","[{'acertos': '7 Pontos', 'vencedores': 0, 'premio': '-'}, {'acertos': '6 Pontos', 'vencedores': 5, 'premio': '19.528,27'}, {'acertos': '5 Pontos', 'vencedores': 132, 'premio': '1.056,72'}, {'acertos': '4 Pontos', 'vencedores': 2151, 'premio': '64,84'}, {'acertos': '3 Pontos', 'vencedores': 19665, 'premio': '5,00'}]"
9,"{'loteria': 'super-sete', 'concurso': 10}","['8', '9', '9', '2', '9', '6', '5']","[{'acertos': '7 Pontos', 'vencedores': 0, 'premio': '-'}, {'acertos': '6 Pontos', 'vencedores': 1, 'premio': '91.701,37'}, {'acertos': '5 Pontos', 'vencedores': 88, 'premio': '1.488,65'}, {'acertos': '4 Pontos', 'vencedores': 1722, 'premio': '76,07'}, {'acertos': '3 Pontos', 'vencedores': 18476, 'premio': '5,00'}]"
10,"{'loteria': 'super-sete', 'concurso': 11}","['6', '0', '7', '5', '6', '0', '9']","[{'acertos': '7 Pontos', 'vencedores': 0, 'premio': '-'}, {'acertos': '6 Pontos', 'vencedores': 3, 'premio': '29.954,24'}, {'acertos': '5 Pontos', 'vencedores': 102, 'premio': '1.258,58'}, {'acertos': '4 Pontos', 'vencedores': 2036, 'premio': '63,05'}, {'acertos': '3 Pontos', 'vencedores': 19284, 'premio': '5,00'}]"
11,"{'loteria': 'super-sete', 'concurso': 12}","['3', '0', '3', '2', '8', '9', '0']","[{'acertos': '7 Pontos', 'vencedores': 0, 'premio': '-'}, {'acertos': '6 Pontos', 'vencedores': 1, 'premio': '95.986,67'}, {'acertos': '5 Pontos', 'vencedores': 159, 'premio': '862,41'}, {'acertos': '4 Pontos', 'vencedores': 2167, 'premio': '63,27'}, {'acertos': '3 Pontos', 'vencedores': 20672, 'premio': '5,00'}]"
12,"{'loteria': 'super-sete', 'concurso': 13}","['3', '9', '9', '7', '4', '6', '0']","[{'acertos': '7 Pontos', 'vencedores': 0, 'premio': '-'}, {'acertos': '6 Pontos', 'vencedores': 8, 'premio': '15.250,25'}, {'acertos': '5 Pontos', 'vencedores': 222, 'premio': '785,08'}, {'acertos': '4 Pontos', 'vencedores': 2987, 'premio': '58,34'}, {'acertos': '3 Pontos', 'vencedores': 28292, 'premio': '5,00'}]"
13,"{'loteria': 'super-sete', 'concurso': 14}","['7', '4', '0', '9', '4', '7', '4']","[{'acertos': '7 Pontos', 'vencedores': 0, 'premio': '-'}, {'acertos': '6 Pontos', 'vencedores': 4, 'premio': '25.581,46'}, {'acertos': '5 Pontos', 'vencedores': 120, 'premio': '1.218,16'}, {'acertos': '4 Pontos', 'vencedores': 2096, 'premio': '69,74'}, {'acertos': '3 Pontos', 'vencedores': 20458, 'premio': '5,00'}]"
14,"{'loteria': 'super-sete', 'concurso': 15}","['3', '6', '8', '1', '7', '9', '9']","[{'acertos': '7 Pontos', 'vencedores': 0, 'premio': '-'}, {'acertos': '6 Pontos', 'vencedores': 7, 'premio': '14.579,70'}, {'acertos': '5 Pontos', 'vencedores': 237, 'premio': '615,17'}, {'acertos': '4 Pontos', 'vencedores': 2938, 'premio': '49,62'}, {'acertos': '3 Pontos', 'vencedores': 24803, 'premio': '5,00'}]"
